lat,long,h,wind_min, wind_max,power_ninth_decile,power_max
15.0,76.0,100,9.45, 9.5, 1058.02, 1061.53
32.5,78.0,100,9.05, 9.07, 853.3, 853.7
18.5,75.5,150,9.62, 9.64, 1072.36, 1072.74
27.0,76.0,50,8.49, 8.5, 727.37, 728.21
16.5,78.0,50,4.13, 12.72, 1340.41, 3428.97
27.5,77.0,150,9.44, 9.48, 993.8, 994.97
33.0,78.5,150,9.22, 9.23, 952.89, 953.19
18.0,73.0,50,8.42, 8.45, 800.28, 800.88
27.0,80.5,10,6.51, 6.63, 426.47, 430.04
12.5,76.5,10,6.97, 7.02, 522.31, 524.45
18.0,78.0,50,4.19, 9.83, 720.8, 1443.67
18.5,77.0,150,8.45, 8.58, 817.9, 822.97
33.0,78.0,150,9.26, 9.31, 954.69, 955.09
13.0,76.5,200,9.18, 9.24, 1041.69, 1046.39
21.5,80.5,50,6.58, 6.84, 465.48, 471.71
23.5,77.0,200,9.45, 9.53, 1065.75, 1068.12
29.5,78.0,10,7.02, 7.05, 480.03, 480.29
21.5,78.0,100,7.72, 10.6, 1234.53, 1609.48
20.0,75.5,100,9.35, 9.36, 938.42, 939.34
29.5,78.0,100,9.02, 9.05, 857.22, 857.55
18.0,80.0,10,4.19, 6.1, 344.1, 365.17
29.0,76.5,200,9.45, 9.47, 1022.97, 1023.71
19.5,74.5,50,8.52, 8.61, 794.3, 798.1
12.0,76.5,10,6.92, 6.98, 513.53, 515.32
35.5,77.5,150,9.41, 9.42, 954.5499877929688, 954.8
16.0,78.5,10,1.61, 7.12, 524.97, 1475.37
10.5,77.5,200,8.6, 8.62, 846.37, 846.9
20.5,78.0,100,6.68, 7.21, 492.87, 510
19.0,77.0,150,8.53, 8.72, 844.53, 848.8
22.5,72.0,10,7, 7.05, 501.14, 502.07
16.5,75.0,150,9.52, 9.54, 1070.8, 1071.04
22.5,78.5,100,7.55, 8.13, 688.57, 705.92
20.0,81.0,10,6.34, 6.51, 405.31, 409.72
25.0,78.5,10,6.68, 6.7, 441.42, 442.51
13.5,76.0,150,9.36, 9.4, 1068.44, 1069.81
10.0,76.0,50,8.23, 8.26, 783.469970703125, 784.74
22.0,76.0,150,9.61, 9.63, 1040.49, 1041.16
17.0,78.5,10,1.76, 11.42, 2044.69, 6107.54
13.0,78.5,50,2.49, 7.16, 409.49, 1456.48
21.5,75.0,100,9.44, 9.46, 937.8, 938.1
10.5,76.5,150,8.91, 8.96, 930.86, 931.75
24.0,76.5,150,9.59, 9.6, 1016.78, 1017.64
14.0,76.5,200,9.31, 9.44, 1104.65, 1111.98
18.0,72.5,200,9.43, 9.44, 1032.72998046875, 1032.95
26.0,77.0,10,7.24, 7.26, 491.66, 492.01
26.0,78.0,150,9.04, 9.09, 907.34, 909.11
18.0,77.5,50,4.63, 12.52, 1518.54, 3417.28
18.5,76.5,50,8.14, 8.29, 748.13, 750.41
19.0,72.5,50,8.43, 8.44, 789.1199951171875, 789.46
27.5,72.5,150,9.26, 9.27, 937.17, 937.64
21.5,75.0,200,9.79, 9.8, 1148.48, 1149.15
24.5,76.5,150,9.6, 9.63, 1021.21, 1024.73
25.5,77.0,150,9.54, 9.56, 1012.63, 1013.01
21.5,74.5,10,7.24, 7.27, 508.23, 508.61
21.5,73.0,100,8.95, 8.97, 895.02, 895.98
24.5,73.5,150,9.3, 9.32, 961.86, 962.25
24.0,72.0,200,9.22, 9.28, 977.16, 978.82
21.0,77.5,100,6.59, 9.79, 1054.99, 1552.61
20.0,81.0,200,8.36, 8.58, 817.22, 826.56
24.5,81.0,150,8.63, 8.76, 844.71, 849.71
30.5,76.5,200,9.4, 9.44, 993.11, 994.49
12.0,77.5,200,8.46, 8.74, 844.12, 857.28
14.0,76.0,100,9.3, 9.34, 1028.18, 1029.77
21.5,72.0,10,7.01, 7.03, 506.71, 507.54
12.0,76.0,10,7.08, 7.12, 546.82, 548.27
27.0,75.5,10,7.19, 7.19, 481.4, 481.85
25.0,72.5,200,9.34, 9.35, 986.91, 987.55
22.0,80.5,100,7.51, 7.65, 576.38, 581.48
22.5,75.0,10,7.38, 7.39, 516.13, 516.74
